titel;zusammenfassung;bild;zusammenfassung2
"C 06 · Reis und Heilpflanzen. 
Die kulturelle Konstruktion nährender und heilender Pflanzen in Südindien";Das Projekt beschäftigt sich mit den südindischen Ressourcen Reis und Heilpflanzen . Reis bildet die hauptsächliche Anbaupflanze in den Schwemmgebieten der südostindischen Flussdeltaregion, Heilpflanzen wachsen vor allem in den Wäldern der Bergregionen Südindiens . In der ersten Untersuchung soll aufgezeigt werden, wie die Reiswirtschaft und die Produkte Paddy und Reis in spezifische, historisch gewachsene Bedeutungsmuster und soziale Strukturen eingewoben sind . Bei der zweiten Untersuchung sollen vor allem die traditionellen Praktiken, die für die Erzeugung von Heilpflanzen notwendig sind, erforscht werden . Daneben gilt es herauszuarbeiten, welche Konzepte von Natur, Umwelt, Wirksamkeit und Nachhaltigkeit den Umgang mit Heilpflanzen bestimmen .;bild1.jpg;Das Projekt beschäftigt sich mit den südindischen Ressourcen Reis und Heilpflanzen . Reis bildet die hauptsächliche Anbaupflanze in den Schwemmgebieten der südostindischen Flussdeltaregion, Heilpflanzen wachsen vor allem in den Wäldern der Bergregionen Südindiens . In der ersten Untersuchung soll aufgezeigt werden, wie die Reiswirtschaft und die Produkte Paddy und Reis in spezifische, historisch gewachsene Bedeutungsmuster und soziale Strukturen eingewoben sind . Bei der zweiten Untersuchung sollen vor allem die traditionellen Praktiken, die für die Erzeugung von Heilpflanzen notwendig sind, erforscht werden . Daneben gilt es herauszuarbeiten, welche Konzepte von Natur, Umwelt, Wirksamkeit und Nachhaltigkeit den Umgang mit Heilpflanzen bestimmen .
;;bild2.jpg;
;;bild3.jpg;
;;bild4.jpg;
;;bild5.jpg;
;;bild6.jpg;
;;bild7.jpg;
;;bild8.jpg;
;;bild9.jpg;
;;bild10.jpg;
